ID;VISITA;MES;FECHA;SATISFACCION_INFOR;SATISFACCION_RECORRIDO;SATISFACCION_GUIA;SATISFACCION_GLOBAL;LO_MEJOR;LO_PEOR;OPINION;SUGERENCIAS
35;MADRID EN FEMENINO;SEPTIEMBRE;30/09/2023;7;8;8;6;El recorrido ;;Mejor de lo que esperaba;
22;MADRID EN FEMENINO;ABRIL;15/04/2023;10;0;0;0;;El guía ;Peor de lo que esperaba;
23;MADRID EN FEMENINO;ABRIL;15/04/2023;10;0;0;0;;El guía ;Peor de lo que esperaba;
4;LA HISTORIA IMPRESCINDIBLE DE MADRID;SEPTIEMBRE;08/09/2023;10;10;10;10;El recorrido ;No ha habido nada que ni me haya gustado ;Como esperaba;No tengo sugerencias 
23;LA NUEVA PLAZA DE ESPAÑA;AGOSTO;13/08/2023;7;9;7;7;El recorrido de la visita;;Mejor de lo que esperaba;
5;CERVANTES Y LAS LETRAS;ENERO ;15/01/2023;10;10;10;10;en general ;;Mejor de lo que esperaba;
18;MUJERES QUE HAN HECHO HISTORIA EN MADRID;OCTUBRE;13/10/2023;10;10;10;10;Entusiasmo, calidad y explicación de Cristian ;Nada;Mejor de lo que esperaba;Aumentar un poco más el cupo del grupo
21;LA NUEVA PLAZA DE ESPAÑA;NOVIEMBRE;24/11/2023;10;10;10;10;Experiencia Guia;No he visto nada, que no me guste ;Mejor de lo que esperaba;No
19;LA LATINA Y EL MUSEO DE LOS ORIGENES;JUNIO;23/06/2023;10;10;10;10;Explicación ;;Mejor de lo que esperaba;
6;MUJERES QUE HAN HECHO HISTORIA EN MADRID;NOVIEMBRE;10/11/2023;10;10;10;10;Explicación de la guia;Nada;Mejor de lo que esperaba;
6;CERVANTES Y LAS LETRAS;ENERO ;15/01/2023;10;10;10;10;;Me ha gustado todo, lo más importante para mi⁷ es que hay intérprete ;Mejor de lo que esperaba;Cosas mejorar
9;LA LATINA Y EL MUSEO DE LOS ORIGENES;OCTUBRE;07/10/2023;8;8;9;8;Explicación de la guía ;Nada que decir ;Como esperaba;Ninguna 
8;HISTORIAS Y LEYENDAS DE MADRID;Mayo;27/05/2023;10;9;10;8;Explicación del guía ;;Como esperaba;
3;MADRID HISTÓRICO;FEBRERO;05/02/2023;9;9;9;10;Explicaciones del guía;;Mejor de lo que esperaba;
10;MADRID HISTÓRICO;FEBRERO;18/02/2023;10;10;10;10;Explicaciones guía ;;Mejor de lo que esperaba;
25;TRADICIONES NAVIDEÑAS CON ILSE;DICIEMBRE;01/12/2023;10;10;10;10;Explicaciones muy claras;No hay visitas a interiores;Mejor de lo que esperaba;Visitas a imteriores
3;LA LATINA Y EL MUSEO DE LOS ORIGENES;NOVIEMBRE;05/11/2023;7;8;7;7;Faro republica ;;Mejor de lo que esperaba;
6;MADRID EN FEMENINO;JULIO;08/07/2023;10;10;10;10;Forma de explicar, curiosidades ;Muy corto 2 horas;Mejor de lo que esperaba;
29;LA LATINA Y EL MUSEO DE LOS ORIGENES;SEPTIEMBRE;24/09/2023;10;9;9;9;Grupo reducido. Guía bueno ;Todo bien ;Como esperaba;Visitas en más días de la semana. Más visitas al público en general, con más cupo
14;LA HISTORIA IMPRESCINDIBLE DE MADRID;AGOSTO;11/08/2023;10;10;10;10;Guesta mas;Gusta mas;Mejor de lo que esperaba;
32;LA NUEVA PLAZA DE ESPAÑA;OCTUBRE;21/10/2023;10;10;10;10;Guia ;Todo nos ha gustado ;Mejor de lo que esperaba;
2;HISTORIAS Y LEYENDAS DE MADRID;NOVIEMBRE;03/11/2023;10;10;10;10;Guia con conocimientos ;El tiempo ;Mejor de lo que esperaba;
6;CERVANTES Y LAS LETRAS;Mayo;26/05/2023;10;10;10;10;Guía muy informada y llena de conocimiento ;Nada ;Mejor de lo que esperaba;
5;MADRID EN FEMENINO;Mayo;20/05/2023;10;10;10;10;Ha sido muy ameno, el guía lo ha explicado muy bien;;Mejor de lo que esperaba;
31;SAN ISIDRO HISTORIA DE UN SANTO MADRILEÑO;ABRIL;29/04/2023;10;9;8;9;;;Como esperaba;
26;LA LATINA Y EL MUSEO DE LOS ORIGENES;JULIO;30/07/2023;10;10;10;10;Historia de La Latina;;Mejor de lo que esperaba;Nuevas rutas
24;TRADICIONES NAVIDEÑAS CON ILSE;DICIEMBRE;01/12/2023;10;10;10;10;Historias ;Nada;Mejor de lo que esperaba;Más explicaciones 
